#{"t_start": 1742142969.09645, "env_id": "None"}
r,l,t
-15.0,9,29.896764
0.0,6,29.9061
5.0,1,29.909265
-15.0,9,29.922002
30.0,2,29.926037
30.0,2,29.930591
5.0,1,29.933388
-30.0,12,29.982201
5.0,1,29.987741
-15.0,9,30.002396
-15.0,9,30.015742
5.0,1,30.019192
-13.571429,17,30.040996
-15.0,9,30.052947
-15.0,9,30.065512
35.0,3,30.071113
35.0,3,30.077747
0.0,6,30.087868
-15.0,9,30.100973
0.0,6,30.110008
30.0,2,30.114578
0.0,6,30.123964
35.0,3,30.130559
0.0,6,30.14021
30.0,2,30.144568
5.0,1,30.147828
-15.0,9,30.1606
-15.0,9,30.173066
30.0,2,30.177337
5.0,1,30.180548
-15.0,9,30.192901
5.0,1,30.196087
-15.0,9,30.207656
0.0,6,30.217045
30.0,2,30.221213
30.0,2,30.225288
5.0,1,30.228335
30.0,2,30.232727
-15.0,9,30.244986
30.0,2,30.248827
0.0,6,30.257529
35.0,3,30.262932
-15.0,9,30.274739
0.0,6,30.283423
5.0,1,30.286472
-15.0,9,30.302368
-30.0,12,30.319535
-15.0,9,30.335138
-15.0,9,30.354168
-15.0,9,30.37364
5.0,1,30.377627
5.0,1,30.380806
5.0,1,30.384276
35.0,3,30.390383
0.0,6,30.399861
-15.0,9,30.413333
30.0,2,30.417491
30.0,2,30.422371
5.0,1,30.425631
-15.0,9,30.438693
0.0,6,30.449457
5.0,1,30.453091
-15.0,9,30.464847
8.333333,17,30.488448
-15.0,9,38.570164
-15.0,9,38.582543
0.0,6,38.592462
35.0,3,38.598174
0.0,6,38.607452
35.0,3,38.613203
5.0,1,38.616572
30.0,2,38.62127
5.0,1,38.624687
-15.0,9,38.637355
30.0,2,38.641829
5.0,1,38.645237
0.0,6,38.654908
30.0,2,38.659129
30.0,2,38.663909
30.0,2,38.668034
-5.0,11,38.682593
-30.0,12,38.698043
0.0,6,38.707402
5.0,1,38.71064
0.0,6,38.719691
-15.0,9,38.73203
5.0,1,38.735131
35.0,3,38.740404
5.0,1,38.74352
0.0,6,38.75232
-60.0,18,38.774688
-15.0,9,38.786685
5.0,1,38.789494
30.0,2,38.793559
43.333333,6,38.802948
-15.0,9,38.815211
5.0,1,38.818311
5.0,1,38.821743
0.0,6,38.830594
-30.0,12,38.846182
0.0,6,38.855248
0.0,6,38.863441
-30.0,12,38.879125
-30.0,12,38.895974
35.0,3,38.901537
5.0,1,38.90484
5.0,1,38.907769
35.0,3,38.913594
0.0,6,38.921828
0.0,6,38.930533
30.0,2,38.935174
35.0,3,38.940492
5.0,1,38.943622
30.0,2,38.947909
30.0,2,38.95247
35.0,3,38.958016
30.0,2,38.962574
35.0,3,38.968584
-20.0,10,38.982009
0.0,6,38.991533
-60.0,18,39.013391
-15.0,9,39.026158
5.0,1,39.029262
5.0,1,39.032843
5.0,1,39.036047
35.0,3,39.041979
30.0,2,39.046151
35.0,3,39.052038
5.0,1,39.055214
30.0,2,39.059812
0.0,6,39.069335
-20.0,10,39.082836
0.0,6,39.092117
-15.0,9,39.105998
30.0,2,39.110036
-15.0,9,39.122488
43.333333,6,39.131815
5.0,1,39.134786
30.0,2,39.1391
35.0,3,39.144706
30.0,2,39.149161
-15.0,9,39.163136
30.0,2,39.167242
0.0,6,39.178977
35.0,3,39.184587
35.0,3,39.19064
35.0,3,39.196338
30.0,2,39.2005
35.0,3,39.206495
0.0,6,39.215502
30.0,2,39.220018
30.0,2,39.224697
0.0,6,39.23373
5.0,1,39.237297
-45.0,15,39.257323
-20.0,24,39.287223
-10.0,12,39.303485
0.0,6,39.313183
-15.0,9,39.326589
-5.0,11,39.342798
0.0,10,39.357002
0.0,6,39.366104
30.0,2,39.370712
-15.0,9,39.383167
35.0,3,39.389041
0.0,6,39.398616
5.0,1,39.402331
5.0,1,39.405866
-15.0,9,39.419437
35.0,3,39.424956
-15.0,9,39.436971
0.0,6,39.446283
30.0,2,39.450805
37.5,7,39.461314
35.0,3,39.46725
-15.0,9,39.4814
0.0,6,39.491352
5.0,1,39.494344
35.0,3,39.499958
5.0,1,39.503198
48.333333,5,39.511254
5.0,1,39.514427
0.0,6,39.523687
35.0,3,39.529164
30.0,4,39.536958
0.0,6,39.546581
-5.0,11,39.561424
30.0,2,39.566491
-15.0,9,39.579789
-45.0,15,39.598711
35.0,3,39.604427
0.0,6,39.613561
5.0,1,39.616989
35.0,3,39.623183
-15.0,9,39.636164
30.0,4,39.642666
30.0,2,39.6467
5.0,1,39.650005
30.0,2,39.654478
35.0,3,39.659633
30.0,2,39.663936
35.0,3,39.669523
-15.0,9,39.682357
30.0,2,39.686515
5.0,1,39.689621
30.0,2,39.694042
0.0,6,39.703312
35.0,3,39.711576
5.0,1,39.714855
30.0,2,39.71987
0.0,6,39.729271
0.0,10,39.744366
-40.0,18,39.768389
35.0,3,39.774833
5.0,1,39.778275
5.0,1,39.7819
0.0,6,39.792376
-15.0,9,39.806986
-30.0,12,39.824238
5.0,1,39.828206
-15.0,9,39.840922
35.0,3,39.846644
30.0,2,39.852174
0.0,6,39.861407
0.0,10,39.875235
35.0,3,39.881373
-15.0,9,39.894297
-15.0,13,39.910567
5.0,1,39.913918
30.0,2,39.918312
0.0,6,39.928589
0.0,6,39.937844
0.0,6,39.947418
0.0,6,39.956167
0.0,6,39.965053
35.0,3,39.970707
30.0,2,39.974857
30.0,2,39.979155
30.0,2,39.983759
-15.0,9,39.996171
-15.0,9,40.008007
35.0,3,40.013679
35.0,3,40.019844
-60.0,18,40.042325
35.0,3,40.04799
0.0,6,40.057377
0.0,6,40.066359
30.0,2,40.070616
35.0,3,40.076452
6.666667,13,40.093369
-15.0,9,40.105325
-30.0,12,40.122572
30.0,2,40.126993
0.0,6,40.136556
35.0,3,40.142411
0.0,6,40.152147
30.0,2,40.156719
-5.0,7,40.166976
30.0,2,40.171409
-15.0,9,40.18381
30.0,2,40.188855
0.0,6,40.198045
5.0,1,48.040233
-30.0,12,48.057727
0.0,6,48.067778
0.0,6,48.077886
30.0,2,48.082454
35.0,3,48.087889
-5.0,7,48.098398
30.0,2,48.102693
0.0,6,48.112827
0.0,6,48.122454
-15.0,9,48.135042
5.0,1,48.138388
0.0,6,48.147654
30.0,2,48.152126
5.0,1,48.155487
-45.0,15,48.174156
0.0,6,48.183233
-30.0,12,48.198707
30.0,2,48.2031
35.0,3,48.2084
-15.0,9,48.221627
30.0,2,48.225998
30.0,2,48.230188
5.0,1,48.23317
-20.0,14,48.251537
0.0,6,48.261059
0.0,6,48.270052
-15.0,9,48.282049
-15.0,9,48.295939
35.0,3,48.301623
30.0,2,48.305694
30.0,2,48.312632
-15.0,9,48.325377
-5.0,7,48.335736
0.0,6,48.345718
35.0,3,48.351664
5.0,1,48.354899
5.0,1,48.358233
30.0,4,48.364737
0.0,6,48.374199
30.0,2,48.378614
0.0,6,48.388722
30.0,2,48.392783
-60.0,18,48.41403
5.0,1,48.417406
5.0,1,48.420465
56.666667,8,48.431762
30.0,2,48.43587
5.0,1,48.438909
30.0,4,48.445522
-30.0,12,48.461522
27.5,9,48.474486
35.0,3,48.480132
30.0,2,48.484394
-15.0,9,48.496703
30.0,2,48.500978
0.0,6,48.510068
25.0,3,48.515658
30.0,2,48.519679
35.0,3,48.525109
55.0,8,48.53699
30.0,2,48.541307
5.0,1,48.544278
0.0,6,48.553501
0.0,6,48.562864
30.0,2,48.566836
35.0,3,48.572302
30.0,2,48.576613
35.0,3,48.582335
30.0,2,48.586684
35.0,3,48.592393
30.0,2,48.596561
0.0,6,48.6055
35.0,3,48.610886
35.0,3,48.61642
0.0,6,48.62583
-5.0,15,48.645088
5.0,1,48.647947
0.0,6,48.656861
0.0,6,48.665732
-5.0,7,48.675747
30.0,2,48.679855
53.333333,4,48.686734
-30.0,12,48.702506
-15.0,9,48.715168
35.0,3,48.720971
-10.0,12,48.735594
