#{"t_start": 1742229566.614126, "env_id": "None"}
r,l,t
5.0,1,75.765813
0.0,6,75.837918
35.0,3,75.908829
0.0,6,76.048946
27.5,9,76.193279
53.333333,4,76.265938
0.0,6,76.338623
30.0,2,76.409501
35.0,3,76.479562
48.333333,5,76.551438
15.0,7,76.69194
27.5,9,76.834589
-30.0,16,77.114598
-5.0,7,77.253721
-15.0,9,77.392905
30.0,2,77.397721
30.0,4,77.47013
43.333333,6,77.802106
-30.0,16,78.0832
5.0,1,78.087468
-15.0,13,78.296502
5.0,1,78.365954
30.0,2,78.36913
35.0,3,78.440304
0.0,10,78.5831
-20.0,14,78.859762
35.0,3,78.929928
43.333333,6,79.004763
25.0,3,79.074777
48.333333,5,79.146602
48.333333,5,79.2183
10.0,8,79.369297
15.0,7,79.511549
43.333333,6,79.651989
-50.0,16,79.92704
43.333333,6,80.001441
-20.0,14,80.323
10.0,8,80.470631
35.0,3,80.474827
5.0,1,80.548108
-8.571429,16,80.8437
25.0,3,80.849519
35.0,3,80.920885
5.0,1,80.926018
53.333333,4,81.000917
5.0,1,81.081012
32.5,8,81.236684
43.333333,6,81.313213
5.0,1,81.316383
-20.0,14,81.595169
43.333333,6,81.669025
5.0,1,81.73845
5.0,1,81.741178
35.0,3,81.811228
-30.0,16,82.090703
15.0,7,82.221777
35.0,3,82.297602
0.0,6,82.505597
43.333333,6,82.581262
0.0,6,82.735745
5.0,1,82.73851
0.0,10,82.892717
-5.0,7,83.043198
30.0,2,83.115163
30.0,2,83.118543
30.0,4,83.190094
0.0,6,83.331467
53.333333,4,83.604743
35.0,3,83.608826
5.0,1,83.679
-10.0,12,83.892126
-30.0,12,84.107398
-30.0,12,84.326179
35.0,3,84.330591
35.0,3,84.405469
10.0,8,84.593316
35.0,3,84.674618
0.0,6,84.749776
30.0,2,84.823327
35.0,3,84.89709
5.0,1,84.899859
38.333333,7,85.041747
-5.0,7,85.117048
37.5,7,85.258784
34.0,14,85.537209
30.0,4,85.608873
0.0,6,85.727091
35.0,3,85.857865
43.333333,6,85.940525
32.5,8,86.101566
0.0,6,86.256001
30.0,2,86.262569
5.0,9,86.482544
0.0,6,86.554321
-15.0,9,86.696949
0.0,6,86.840006
5.0,1,86.843532
-15.0,9,86.995544
0.0,6,87.149259
-15.0,9,87.301282
35.0,3,87.376746
35.0,3,87.447919
30.0,4,87.519056
5.0,1,87.522848
12.0,12,87.730829
-5.0,7,87.871462
-5.0,7,87.946542
0.0,6,88.085688
5.0,1,88.088323
35.0,3,88.158999
43.333333,6,88.232853
5.0,1,88.303773
30.0,2,88.306973
10.0,8,88.46552
30.0,2,88.535238
-15.0,13,88.74741
5.0,1,88.749948
48.333333,5,89.025166
-30.0,12,89.236101
48.333333,5,89.377919
30.0,2,89.381212
5.0,1,89.384314
5.0,1,89.452796
5.0,1,89.45659
-18.571429,18,89.739281
43.333333,6,89.877841
-92.857143,43,90.630399
30.0,2,90.634993
5.0,1,90.637428
5.0,1,90.706116
5.0,1,90.708954
5.0,1,90.712841
30.0,2,90.783894
0.0,6,90.857019
35.0,3,90.92753
32.5,8,91.070461
43.333333,6,91.143622
30.0,2,91.214421
35.0,3,91.286571
37.5,7,91.360808
30.0,2,91.431228
33.333333,8,91.573647
25.0,5,91.646161
30.0,2,91.716744
35.0,3,91.721202
0.0,6,91.860565
30.0,2,91.8641
-90.0,28,92.419645
-10.0,8,92.561078
48.333333,5,92.70078
30.0,2,92.704614
35.0,3,92.7776
25.0,5,92.849862
-35.0,13,93.063698
0.0,6,93.204534
15.0,7,93.346782
5.0,9,93.496801
0.0,6,93.569698
5.0,1,93.638223
25.0,5,93.7134
43.333333,6,93.78562
35.0,3,93.857063
34.0,14,94.134194
10.0,8,94.279238
35.0,3,94.284083
35.0,3,94.354338
5.0,1,94.356896
30.0,2,94.613266
35.0,3,94.68596
0.0,6,94.758792
35.0,3,94.828671
-15.0,9,94.970231
5.0,1,94.97314
35.0,3,95.045688
0.0,6,95.184598
5.0,1,95.188473
35.0,3,95.260189
-30.0,12,95.468364
30.0,2,95.471939
30.0,2,95.542938
35.0,3,95.547088
35.0,3,95.619157
5.0,1,95.622113
35.0,3,95.694504
30.0,2,95.776696
5.0,1,95.7798
-15.0,9,95.921883
-5.0,7,96.070793
0.0,6,96.144479
-15.0,9,96.351775
30.0,2,96.357506
30.0,2,96.428277
5.0,1,96.430909
35.0,3,96.50098
-15.0,9,96.643168
30.0,2,96.647719
-15.0,9,96.854328
35.0,3,96.85881
0.0,6,96.996653
0.0,6,97.069522
-5.0,11,97.278146
5.0,1,97.280726
35.0,3,97.351686
0.0,6,97.494011
35.0,3,97.498144
15.0,7,97.641481
35.0,3,97.711968
30.0,4,97.787501
30.0,2,97.791146
35.0,3,97.862868
5.0,1,97.865828
35.0,3,97.94025
25.0,3,98.015234
5.0,1,98.018006
-30.0,12,98.228096
5.0,1,98.232882
-5.0,7,98.372253
-5.0,11,98.777306
0.0,6,98.850513
5.0,1,98.921101
30.0,2,98.925083
48.333333,5,98.997735
53.333333,4,99.069463
32.5,8,99.212089
35.0,3,99.282443
53.333333,4,99.355054
30.0,2,99.424506
35.0,3,99.430281
48.333333,5,99.566956
37.5,7,99.641514
30.0,2,99.711935
